iter	Passed	Remaining
0	138	138596
1	139	69713
2	140	46752
3	142	35364
4	142	28434
5	143	23797
6	144	20488
7	145	18005
8	146	16076
9	146	14532
10	147	13271
11	148	12229
12	149	11344
13	150	10591
14	151	9931
15	151	9346
16	152	8832
17	153	8376
18	154	7987
19	155	7643
20	156	7316
21	157	7015
22	158	6739
23	159	6486
24	160	6253
25	161	6037
26	162	5840
27	162	5658
28	163	5489
29	164	5330
30	165	5181
31	166	5038
32	167	4905
33	168	4780
34	169	4669
35	170	4568
36	171	4463
37	172	4363
38	173	4265
39	173	4172
40	174	4083
41	175	4000
42	176	3920
43	177	3846
44	177	3775
45	178	3708
46	179	3642
47	180	3577
48	181	3519
49	182	3463
50	183	3421
51	184	3370
52	185	3319
53	186	3268
54	187	3221
55	188	3175
56	189	3132
57	190	3089
58	191	3047
59	191	3005
60	192	2965
61	193	2928
62	194	2893
63	195	2858
64	196	2824
65	197	2791
66	198	2768
67	199	2738
68	200	2706
69	201	2675
70	202	2646
71	203	2617
72	203	2589
73	204	2561
74	205	2535
75	206	2510
76	207	2485
77	208	2461
78	209	2437
79	209	2414
80	210	2390
81	211	2367
82	211	2341
83	213	2325
84	214	2307
85	215	2289
86	216	2270
87	217	2252
88	218	2234
89	219	2215
90	219	2196
91	220	2178
92	221	2161
93	222	2144
94	223	2127
95	224	2111
96	224	2094
97	225	2078
98	226	2064
99	228	2053
100	229	2039
101	230	2025
102	230	2011
103	231	1997
104	232	1984
105	233	1970
106	234	1957
107	235	1944
108	236	1931
109	237	1919
110	238	1906
111	238	1893
112	239	1880
113	240	1868
114	241	1856
115	242	1846
116	243	1837
117	244	1826
118	245	1815
119	246	1805
120	247	1794
121	247	1783
122	248	1773
123	249	1763
124	250	1754
125	251	1745
126	252	1735
127	253	1725
128	254	1715
129	254	1706
130	255	1696
131	256	1688
132	258	1681
133	259	1674
134	261	1672
135	262	1664
136	263	1657
137	263	1648
138	264	1639
139	265	1630
140	266	1624
141	267	1615
142	268	1608
143	269	1599
144	270	1592
145	270	1584
146	271	1578
147	273	1577
148	275	1571
149	276	1566
150	278	1563
151	279	1558
152	280	1551
153	280	1543
154	281	1536
155	282	1529
156	283	1521
157	284	1514
158	284	1507
159	285	1500
160	286	1494
161	288	1492
162	289	1488
163	290	1482
164	291	1476
165	292	1469
166	293	1462
167	294	1456
168	294	1449
169	295	1442
170	296	1436
171	297	1430
172	297	1423
173	298	1417
174	299	1411
175	300	1405
176	301	1402
177	303	1401
178	304	1397
179	305	1392
180	306	1387
181	307	1381
182	308	1376
183	309	1370
184	309	1365
185	311	1361
186	312	1357
187	313	1352
188	313	1347
189	314	1341
190	315	1336
191	317	1336
192	318	1333
193	320	1330
194	321	1328
195	322	1323
196	323	1319
197	324	1313
198	325	1308
199	325	1303
200	326	1298
201	327	1293
202	328	1288
203	329	1283
204	329	1279
205	331	1276
206	333	1275
207	334	1274
208	335	1270
209	336	1265
210	337	1261
211	338	1257
212	339	1252
213	340	1251
214	341	1247
215	342	1243
216	343	1239
217	344	1235
218	345	1231
219	347	1232
220	348	1229
221	350	1227
222	351	1224
223	352	1220
224	353	1216
225	354	1212
226	354	1208
227	355	1204
228	356	1200
229	357	1196
230	358	1192
231	359	1188
232	359	1184
233	361	1181
234	362	1181
235	364	1178
236	365	1176
237	366	1172
238	367	1168
239	367	1165
240	368	1161
241	369	1157
242	370	1154
243	371	1150
244	377	1161
245	378	1160
246	379	1156
247	380	1153
248	381	1149
249	382	1146
250	382	1142
251	383	1138
252	384	1135
253	385	1131
254	386	1128
255	387	1124
256	387	1121
257	388	1118
258	389	1115
259	390	1112
260	392	1111
261	393	1108
262	394	1106
263	395	1103
264	396	1100
265	397	1097
266	398	1094
267	399	1090
268	400	1087
269	402	1087
270	403	1084
271	403	1081
272	404	1078
273	406	1077
274	408	1075
275	409	1073
276	410	1071
277	411	1068
278	412	1065
279	413	1062
280	414	1059
281	414	1056
282	415	1053
283	416	1050
284	417	1047
285	418	1044
286	419	1041
287	419	1038
288	421	1037
289	423	1036
290	424	1034
291	425	1031
292	426	1028
293	426	1025
294	427	1022
295	428	1019
296	429	1016
297	430	1014
298	431	1011
299	432	1008
300	433	1005
301	433	1002
302	434	999
303	436	999
304	437	997
305	438	995
306	439	992
307	440	989
308	441	986
309	442	984
310	443	981
311	444	979
312	445	977
313	446	974
314	447	972
315	448	969
316	448	967
317	450	965
318	451	963
319	452	961
320	453	958
321	454	956
322	454	953
323	455	950
324	456	948
325	457	945
326	458	943
327	459	940
328	459	937
329	460	935
330	461	932
331	462	930
332	463	927
333	463	924
334	465	923
335	466	922
336	467	919
337	468	917
338	469	915
339	470	912
340	471	910
341	472	908
342	472	905
343	473	903
344	474	901
345	475	898
346	476	896
347	477	894
348	477	891
349	478	889
350	480	888
351	481	886
352	482	884
353	483	882
354	484	879
355	485	877
356	486	875
357	487	873
358	487	871
359	488	869
360	489	866
361	490	865
362	491	862
363	492	860
364	493	858
365	494	856
366	495	854
367	496	852
368	497	850
369	498	848
370	499	847
371	500	845
372	501	843
373	502	841
374	503	839
375	504	837
376	505	835
377	506	833
378	507	831
379	508	829
380	510	828
381	511	827
382	512	825
383	513	823
384	514	821
385	514	819
386	515	817
387	516	814
388	517	812
389	518	810
390	519	808
391	520	806
392	520	804
393	521	802
394	522	800
395	523	798
396	525	797
397	526	796
398	527	794
399	528	792
400	529	790
401	529	788
402	530	786
403	531	784
404	532	782
405	533	779
406	533	777
407	534	775
408	535	773
409	536	772
410	537	770
411	538	768
412	539	766
413	541	765
414	541	763
415	542	761
416	543	759
417	544	758
418	545	756
419	546	754
420	547	752
421	547	750
422	548	748
423	549	746
424	550	744
425	551	742
426	552	740
427	552	738
428	553	736
429	555	735
430	555	733
431	556	731
432	557	729
433	558	728
434	559	726
435	560	724
436	561	722
437	561	721
438	562	719
439	563	717
440	564	715
441	565	713
442	566	711
443	566	709
444	567	707
445	568	706
446	570	705
447	571	704
448	572	702
449	573	700
450	574	698
451	575	697
452	576	695
453	577	693
454	577	692
455	578	690
456	579	688
457	580	686
458	581	685
